0.9625,0.9250,1.0000,0.9610
0.9550,0.9100,1.0000,0.9529
0.9700,0.9400,1.0000,0.9691
0.9650,0.9300,1.0000,0.9637
0.9575,0.9150,1.0000,0.9556
0.9800,0.9650,0.9948,0.9797
0.9350,0.8700,1.0000,0.9305
0.9650,0.9300,1.0000,0.9637
0.9900,0.9800,1.0000,0.9899
0.9800,0.9600,1.0000,0.9796
0.9875,0.9750,1.0000,0.9873
0.9825,0.9650,1.0000,0.9822
0.9650,0.9350,0.9947,0.9639
0.9725,0.9450,1.0000,0.9717
0.9925,0.9850,1.0000,0.9924
0.9825,0.9650,1.0000,0.9822
0.8750,0.7500,1.0000,0.8571
0.9750,0.9600,0.9897,0.9746
0.9725,0.9500,0.9948,0.9719
0.9850,0.9750,0.9949,0.9848
0.9850,0.9750,0.9949,0.9848
